time,enso
8228,-0.56959839072296
8235,-0.534580267519267
8242,-0.512275903127849
8249,-0.540203618327208
8256,-0.540606407854765
8263,-0.514904093978017
8270,-0.512505315643839
8277,-0.503946070151149
8284,-0.495027025618858
8291,-0.520711568687724
8298,-0.566490669871311
8305,-0.602994600015624
8312,-0.630141340018178
8319,-0.630682370168127
8326,-0.652666447338964
8333,-0.697907897915294
8340,-0.701681578585602
8347,-0.745168513050925
8354,-0.791883487822514
8361,-0.812969309352305
8368,-0.8453960061438
8375,-0.835365191938442
8382,-0.809793835099477
8389,-0.774064974777527
8396,-0.751817460324405
8403,-0.736930148392996
8410,-0.720125053950175
8417,-0.686368961685732
8424,-0.615761290300513
8431,-0.565687402272656
8438,-0.506843229210174
8445,-0.453376209710631
8452,-0.41169724493232
8459,-0.374153656040527
8466,-0.355129175677223
8473,-0.347148782415342
8480,-0.364750017436394
8487,-0.357365469759711
8494,-0.350320371920713
8501,-0.345440384187786
8508,-0.345907350008154
8515,-0.355778863558353
8522,-0.350055834588115
8529,-0.333787960278134
8536,-0.298586049491372
8543,-0.282642105537652
8550,-0.263462192111594
8557,-0.233446180659596
8564,-0.177190767852373
8571,-0.108201957426255
8578,-0.0538699158931087
8585,-0.023023809255393
8592,0.0143892282927244
8599,0.0115182613832675
8606,0.0217059331442942
8613,0.0137332275242613
8620,0.00209169948679098
8627,-0.0107771145788633
8634,-0.0305048194879451
8641,-0.0344170880159491
8648,-0.0836911896637468
8655,-0.119398140924977
8662,-0.134370444005073
8669,-0.150850473723283
8676,-0.181374522389054
8683,-0.230682169001688
8690,-0.242566955319424
8697,-0.271843804495868
8704,-0.299465225171023
8711,-0.30729661244869
8718,-0.336215539877935
8725,-0.320745709244594
8732,-0.308174305475832
8739,-0.281866045019132
8746,-0.276445389226808
8753,-0.268881961178375
8760,-0.250359476417074
8767,-0.1973999468743
8774,-0.167588630837477
8781,-0.105709296449815
8788,-0.0573931390924634
8795,-0.0302799959535529
8802,0.00378927855504251
8809,0.0252429722921117
8816,0.0530951522663143
8823,0.084831367850316
8830,0.0941839594950535
8837,0.123367462597263
8844,0.131059131659191
8851,0.114354430948331
8858,0.0893568704479743
8865,0.12819573556768
8872,0.135603575298788
8879,0.187626505016353
8886,0.263261062396095
8893,0.294945678990244
8900,0.342763752950212
8907,0.366223884163199
8914,0.385767163414728
8921,0.444615613362227
8928,0.487845558567808
8935,0.538749484886454
8942,0.595948405978408
8949,0.644665635213663
8956,0.676287792884194
8963,0.709455533423618
8970,0.686819547122858
8977,0.694892350128103
8984,0.732096998859615
8991,0.767871981059651
8998,0.826773525830936
9005,0.834053543683405
9012,0.838852126663623
9019,0.865747932828978
9026,0.909729464417975
9033,0.923589671848319
9040,0.978186191435932
9047,1.01540724812929
9054,1.07208428502174
9061,1.13952437376222
9068,1.18296808683864
9075,1.22046803603358
9082,1.25275427204737
9089,1.2570254645837
9096,1.30685183895346
9103,1.32108528762469
9110,1.30563908680403
9117,1.24131561233513
9124,1.18785969131177
9131,1.1464575777946
9138,1.12864040072852
9145,1.07848583602576
9152,1.03419610222931
9159,0.972050320872677
9166,0.901578325064024
9173,0.831553164546929
9180,0.72905897278232
9187,0.635327773087171
9194,0.567536250565386
9201,0.493942165262034
9208,0.430016976658196
9215,0.37028333572101
9222,0.261543326986945
9229,0.120687183312515
9236,0.00845782522892016
9243,-0.0996815163729142
9250,-0.173753609523212
9257,-0.231730406276071
9264,-0.290339921564636
9271,-0.285454468592042
9278,-0.288554604643803
9285,-0.291104246625406
9292,-0.268346740451026
9299,-0.2263194517436
9306,-0.178842713313284
9313,-0.112921590570625
9320,-0.0511614975064843
9327,-0.00808783538839423
9334,0.0587208310493605
9341,0.101849880431321
9348,0.109830591626453
9355,0.148076714764403
9362,0.173269744278551
9369,0.225980630308967
9376,0.236811996774521
9383,0.249795824088442
9390,0.261029389357274
9397,0.279836245027101
